ID,ISIN,FUND_NAME,AUM,DAILYNAV,EXPENSE_RATIO,ONE_DAY,ONE_MONTH,THREE_MONTH,SIX_MONTH,ONE_YEAR,TWO_YEAR,THREE_YEAR,FIVE_YEAR,SEVEN_YEAR,RETURN_SINCE_INCEPTION,PORTFOLIO_DATE,NAV_DATE,RETURNDATE,AUM_DECLARATION_DATE,SYNC_TIMESTAMP,SYNC_DATE
80907d19-556e-4471-adde-8549ac94dab0,INF204KA1V94,Nippon India Equity Savings Regular Growth,9292625721.44,16.1346,1.57,0.27221,-2.01739,-1.02201,0.31086,5.79511,5.37058,8.61364,6.96942,3.46327,4.53101,2026-02-28,2026-03-16,2026-03-16,2026-02-28,2026-03-17 05:16:06.173 +0530,2026-03-17
831c21c7-cc4c-44f6-a39f-75307cef20d5,INF194KB1IR4,Bandhan BSE Healthcare Index Fund Regular Growth,167542000,9.6395,2.39,-1.13536,-1.60864,-3.40311,-5.89367,7.04014,,,,,-1.84048,2026-02-28,2026-03-16,2026-03-16,2026-02-28,2026-03-17 05:26:10.276 +0530,2026-03-17
bc58e17c-39b8-442b-bb78-dd005cd626ca,INF209KA1TV7,Aditya BSL Dynamic Bond Fund Regular IDCW,18863103000,11.8536,1.23,-0.09187,-0.16969,0.72993,1.90479,5.52017,6.47608,6.78819,6.49469,5.62364,5.93702,2026-02-28,2026-03-16,2026-03-16,2026-02-28,2026-03-17 08:03:02.937 +0530,2026-03-17
c942cf10-5cb8-49c5-8de4-f75910195fb1,INF109KC1U27,ICICI Prudential NASDAQ 100 Index Fund Regular Growth,28008885638.55,19.4291,1.08,1.07005,0.41737,-1.14115,5.72067,33.77267,22.21299,31.65133,,,16.01411,2026-02-28,2026-03-16,2026-03-13,2026-02-28,2026-03-17 12:01:03.329 +0530,2026-03-17
440b97e2-ebf5-46d3-9600-34981798d51d,INF754K01UH5,Edelweiss CRISIL IBX AAABdNBFCHFC0627Idx Direct IDCW,850891000,10.8507,0.14,0.03411,0.26149,1.30427,2.9195,8.1027,,,,,7.92514,2026-02-28,2026-03-16,2026-03-16,2026-02-28,2026-03-17 05:26:07.048 +0530,2026-03-17
7dbdfec6-51aa-428a-a38a-b212075e3b97,INF0GCD01826,TrustMF Small Cap Fund Direct IDCW,13117319658,9.97,0.47,0,-6.90943,-6.99627,-6.99627,14.99423,,,,,-0.22056,2026-02-28,2026-03-16,2026-03-16,2026-02-28,2026-03-17 05:08:11.521 +0530,2026-03-17
f0a35c30-7c22-41b9-8f1d-7ef658c63ec4,INF174KA1OB1,Kotak Nifty 200 Momentum 30 Index Fund Direct Growth,5027612000,13.649,0.2,0.76781,-9.03093,-8.22968,-7.63348,7.91429,-0.99599,,,,11.53377,2026-02-28,2026-03-16,2026-03-16,2026-02-28,2026-03-17 05:28:13.870 +0530,2026-03-17
8b682646-b086-494c-b546-fe6a777950a4,INF767K01501,LIC MF Infrastructure Regular Growth,10066828000,46.9121,2.23,0.04692,-6.0973,-4.06896,-7.12406,15.24078,14.79999,26.72653,21.92485,18.96078,8.94464,2026-02-28,2026-03-16,2026-03-16,2026-02-28,2026-03-17 05:22:09.352 +0530,2026-03-17
e5da8bdf-0793-4005-b494-065fd4a91949,INF194K01Z69,Bandhan Large Cap Direct IDCW,20239277000,28.196,0.87,0.93793,-8.62365,-8.52879,-6.54912,8.65039,6.43695,16.86038,12.52,12.9445,12.2181,2026-02-28,2026-03-16,2026-03-16,2026-02-28,2026-03-17 08:23:05.533 +0530,2026-03-17
48590ea5-7f41-479c-b6a1-4f07a31a3173,INF174V01AG7,Mahindra Manulife Focused Fund Direct Growth,22384451000,28.0862,0.57,0.8206,-7.62334,-5.39704,-3.52198,8.96767,7.47039,19.81743,18.00392,,21.38752,2026-02-28,2026-03-16,2026-03-16,2026-02-28,2026-03-17 05:23:11.209 +0530,2026-03-17
