ISIN,POWERRANK,POWERRATING,TIMESTAMP
INF846K01EW2,34,OUT_OF_FORM,2026-03-01
INF740KA1LG1,6,ON_TRACK,2026-03-01
INF174V01721,12,ON_TRACK,2026-03-01
INF769K01ED6,4,ON_TRACK,2026-03-01
INF761K01BO6,17,OFF_TRACK,2026-03-01
INF789F01VF3,11,OFF_TRACK,2026-03-01
INF277KA1CC0,2,IN_FORM,2026-03-01
INF740KA1UQ1,,IN_FORM,2026-03-01
INF090I01IW2,5,IN_FORM,2026-03-01
INF179KC1JF5,,IN_FORM,2026-03-01
INF204K01H36,4,IN_FORM,2026-03-01
INF769K01BL5,1,IN_FORM,2026-03-01
INF200KB1811,,IN_FORM,2026-03-01
INF200KA18E2,12,ON_TRACK,2026-03-01
INF879O01027,2,IN_FORM,2026-03-01
INF336L01DW4,14,ON_TRACK,2026-03-01
INF582M01IO7,14,OFF_TRACK,2026-03-01
INF174K01LI3,10,ON_TRACK,2026-03-01
INF209K01WE3,17,OFF_TRACK,2026-03-01
INF663L01GR4,25,OUT_OF_FORM,2026-03-01
INF247L01890,3,IN_FORM,2026-03-01
INF109KC1V18,7,ON_TRACK,2026-03-01
INF846K01VJ3,11,ON_TRACK,2026-03-01
INF179KC1DU7,2,IN_FORM,2026-03-01
INF200KA1DF3,12,ON_TRACK,2026-03-01
INF109K014O9,9,ON_TRACK,2026-03-01
INF090I01JF5,1,IN_FORM,2026-03-01
INF173K01FE6,20,OFF_TRACK,2026-03-01
INF955L01HF7,2,IN_FORM,2026-03-01
INF846K01CQ8,26,OUT_OF_FORM,2026-03-01
INF178L01AL9,10,ON_TRACK,2026-03-01
INF200K01UM9,2,IN_FORM,2026-03-01
INF846K013D2,5,IN_FORM,2026-03-01
INF173K01HZ7,33,OFF_TRACK,2026-03-01
INF761K01DM6,5,IN_FORM,2026-03-01
INF200KA16P2,8,ON_TRACK,2026-03-01
INF582M01765,28,OFF_TRACK,2026-03-01
INF179KC1IQ4,3,IN_FORM,2026-03-01
INF959L01CX3,23,OFF_TRACK,2026-03-01
INF789F01TU6,13,OFF_TRACK,2026-03-01
INF277K011O1,15,OFF_TRACK,2026-03-01
INF209KC1332,,OFF_TRACK,2026-03-01
INF966L01721,11,ON_TRACK,2026-03-01
INF789F1AYL4,10,IN_FORM,2026-03-01
INF789F01XA0,7,IN_FORM,2026-03-01
INF277K01PK1,24,ON_TRACK,2026-03-01
INF917K01D12,16,IN_FORM,2026-03-01
INF966L01556,4,IN_FORM,2026-03-01
INF109K1A369,9,ON_TRACK,2026-03-01
INF760K01KI1,11,ON_TRACK,2026-03-01
INF740KA1TW1,,IN_FORM,2026-03-01
INF397L01JS1,22,OUT_OF_FORM,2026-03-01
INF194K01Z02,20,OUT_OF_FORM,2026-03-01
INF769K01GX9,6,IN_FORM,2026-03-01
INF205K01KY4,5,IN_FORM,2026-03-01
INF179KC1IM3,4,ON_TRACK,2026-03-01
INF200K01RJ1,11,ON_TRACK,2026-03-01
INF666M01FA3,27,OUT_OF_FORM,2026-03-01
INF666M01HM4,7,IN_FORM,2026-03-01
INF966L01BL5,16,ON_TRACK,2026-03-01
INF846K019E7,5,IN_FORM,2026-03-01
INF194KB1IS2,,IN_FORM,2026-03-01
INF109KC13X2,,IN_FORM,2026-03-01
INF277KA1AO9,2,IN_FORM,2026-03-01
INF397L01AZ5,18,OFF_TRACK,2026-03-01
INF277KA1BM1,,IN_FORM,2026-03-01
INF174KA1SL1,,IN_FORM,2026-03-01
INF247L01BI6,,IN_FORM,2026-03-01
INF109K1A252,,IN_FORM,2026-03-01
INF209K01VH8,21,OUT_OF_FORM,2026-03-01
INF204K01K49,6,IN_FORM,2026-03-01
INF789F1AVF2,,ON_TRACK,2026-03-01
INF082J01382,7,OFF_TRACK,2026-03-01
INF789F1AVH8,,IN_FORM,2026-03-01
INF579M01AI2,2,IN_FORM,2026-03-01
INF754K01QL5,1,IN_FORM,2026-03-01
INF192K01MV6,18,OFF_TRACK,2026-03-01
INF247L01EB5,,IN_FORM,2026-03-01
INF277KA1BG3,,IN_FORM,2026-03-01
INF955L01971,11,OFF_TRACK,2026-03-01
INF109K016L0,3,IN_FORM,2026-03-01
INF109KC13E2,6,IN_FORM,2026-03-01
INF109K01Y31,22,ON_TRACK,2026-03-01
INF200K01T51,23,OUT_OF_FORM,2026-03-01
INF336L01NV5,12,ON_TRACK,2026-03-01
INF204KA1W77,17,OFF_TRACK,2026-03-01
INF966L01AD4,1,IN_FORM,2026-03-01
INF680P01042,25,OUT_OF_FORM,2026-03-01
INF200KA14W3,8,OFF_TRACK,2026-03-01
INF277K013A6,7,ON_TRACK,2026-03-01
INF209KA1TP9,14,OFF_TRACK,2026-03-01
INF173K01GZ9,4,IN_FORM,2026-03-01
INF846K01WO1,6,OFF_TRACK,2026-03-01
INF174KA1GA9,2,IN_FORM,2026-03-01
INF277KA1CO5,,IN_FORM,2026-03-01
INF767K01FF2,19,IN_FORM,2026-03-01
INF179KC1AO6,4,ON_TRACK,2026-03-01
INF955L01AG0,18,OFF_TRACK,2026-03-01
INF194KB1HA2,,ON_TRACK,2026-03-01
INF1J2R01072,33,ON_TRACK,2026-03-01
INF174KA1VE0,,IN_FORM,2026-03-01
INF109KC1R14,3,IN_FORM,2026-03-01
INF247L01DU7,,IN_FORM,2026-03-01
INF754K01BS2,8,IN_FORM,2026-03-01
INF789F1AZR8,8,OUT_OF_FORM,2026-03-01
INF277K01PJ3,3,IN_FORM,2026-03-01
INF789F1AZV0,5,ON_TRACK,2026-03-01
INF579M01AN2,12,ON_TRACK,2026-03-01
INF277K01MN2,24,OUT_OF_FORM,2026-03-01
INF0QA701BG6,17,ON_TRACK,2026-03-01
INF789F1AYR1,2,ON_TRACK,2026-03-01
INF204KB12Z0,,IN_FORM,2026-03-01
INF769K01FS1,6,IN_FORM,2026-03-01
INF767K01PP0,20,ON_TRACK,2026-03-01
INF194K012A8,1,IN_FORM,2026-03-01
INF959L01HK9,36,ON_TRACK,2026-03-01
