ENTITYID,CREATEDAT,RETURN_VALUE,ROLLING_PERIOD,TENURE_UNIT
VALUE_AND_CONTRA,2026-03-01 10:00:43.269 +0530,24.838824895,12,MONTH
VALUE_AND_CONTRA,2026-03-01 10:00:43.269 +0530,20.720403469,60,MONTH
VALUE_AND_CONTRA,2026-03-01 10:00:43.269 +0530,24.366007704,36,MONTH
ULTRA_SHORT_DURATION,2026-03-01 10:00:43.269 +0530,7.219984668,12,MONTH
ULTRA_SHORT_DURATION,2026-03-01 10:00:43.269 +0530,6.050519822,36,MONTH
ULTRA_SHORT_DURATION,2026-03-01 10:00:43.269 +0530,5.904799622,60,MONTH
TEN_YR_GOVERNMENT_BOND,2026-03-01 10:00:43.269 +0530,8.327972441,12,MONTH
TEN_YR_GOVERNMENT_BOND,2026-03-01 10:00:43.269 +0530,6.940792979,60,MONTH
TEN_YR_GOVERNMENT_BOND,2026-03-01 10:00:43.269 +0530,5.635742835,36,MONTH
SMALL_CAP,2026-03-01 10:00:43.269 +0530,26.269773283,12,MONTH
SMALL_CAP,2026-03-01 10:00:43.269 +0530,29.490512218,36,MONTH
SMALL_CAP,2026-03-01 10:00:43.269 +0530,27.027500256,60,MONTH
SHORT_DURATION,2026-03-01 10:00:43.269 +0530,7.809082786,12,MONTH
SHORT_DURATION,2026-03-01 10:00:43.269 +0530,6.571645193,36,MONTH
SHORT_DURATION,2026-03-01 10:00:43.269 +0530,6.760547532,60,MONTH
SECTORAL_THEMATIC_TRANSPORT_AND_LOGISTICS,2026-03-01 10:00:43.269 +0530,20.307530154,60,MONTH
SECTORAL_THEMATIC_TRANSPORT_AND_LOGISTICS,2026-03-01 10:00:43.269 +0530,28.193274014,36,MONTH
SECTORAL_THEMATIC_TRANSPORT_AND_LOGISTICS,2026-03-01 10:00:43.269 +0530,30.41107449,12,MONTH
SECTORAL_THEMATIC_TECHNOLOGY,2026-03-01 10:00:43.269 +0530,20.207445507,36,MONTH
SECTORAL_THEMATIC_TECHNOLOGY,2026-03-01 10:00:43.269 +0530,24.236011597,60,MONTH
SECTORAL_THEMATIC_TECHNOLOGY,2026-03-01 10:00:43.269 +0530,19.474265158,12,MONTH
SECTORAL_THEMATIC_QUANT,2026-03-01 10:00:43.269 +0530,19.144199369,36,MONTH
SECTORAL_THEMATIC_QUANT,2026-03-01 10:00:43.269 +0530,22.214485385,12,MONTH
SECTORAL_THEMATIC_QUANT,2026-03-01 10:00:43.269 +0530,18.0145281,60,MONTH
SECTORAL_THEMATIC_PSU,2026-03-01 10:00:43.269 +0530,24.958171488,60,MONTH
SECTORAL_THEMATIC_PSU,2026-03-01 10:00:43.269 +0530,34.979067018,36,MONTH
SECTORAL_THEMATIC_PSU,2026-03-01 10:00:43.269 +0530,40.063347887,12,MONTH
SECTORAL_THEMATIC_OTHERS,2026-03-01 10:00:43.269 +0530,23.038386338,12,MONTH
SECTORAL_THEMATIC_OTHERS,2026-03-01 10:00:43.269 +0530,20.877666354,60,MONTH
SECTORAL_THEMATIC_OTHERS,2026-03-01 10:00:43.269 +0530,23.803203414,36,MONTH
SECTORAL_THEMATIC_MNC,2026-03-01 10:00:43.269 +0530,15.452859128,12,MONTH
SECTORAL_THEMATIC_MNC,2026-03-01 10:00:43.269 +0530,14.324817777,60,MONTH
SECTORAL_THEMATIC_MNC,2026-03-01 10:00:43.269 +0530,15.832797667,36,MONTH
SECTORAL_THEMATIC_MANUFACTURING,2026-03-01 10:00:43.269 +0530,24.356357908,36,MONTH
SECTORAL_THEMATIC_MANUFACTURING,2026-03-01 10:00:43.269 +0530,26.468562445,12,MONTH
SECTORAL_THEMATIC_MANUFACTURING,2026-03-01 10:00:43.269 +0530,20.048738334,60,MONTH
SECTORAL_THEMATIC_IPO,2026-03-01 10:00:43.269 +0530,18.042675585,36,MONTH
SECTORAL_THEMATIC_IPO,2026-03-01 10:00:43.269 +0530,19.516249553,12,MONTH
SECTORAL_THEMATIC_IPO,2026-03-01 10:00:43.269 +0530,20.449623576,60,MONTH
SECTORAL_THEMATIC_INFRASTRUCTURE,2026-03-01 10:00:43.269 +0530,31.667086855,36,MONTH
SECTORAL_THEMATIC_INFRASTRUCTURE,2026-03-01 10:00:43.269 +0530,25.028725247,60,MONTH
SECTORAL_THEMATIC_INFRASTRUCTURE,2026-03-01 10:00:43.269 +0530,31.954458547,12,MONTH
SECTORAL_THEMATIC_HOUSING,2026-03-01 10:00:43.269 +0530,24.600870105,36,MONTH
SECTORAL_THEMATIC_HOUSING,2026-03-01 10:00:43.269 +0530,18.497517577,60,MONTH
SECTORAL_THEMATIC_HOUSING,2026-03-01 10:00:43.269 +0530,23.269635948,12,MONTH
SECTORAL_THEMATIC_HEALTHCARE,2026-03-01 10:00:43.269 +0530,27.854264567,12,MONTH
SECTORAL_THEMATIC_HEALTHCARE,2026-03-01 10:00:43.269 +0530,22.656564244,60,MONTH
SECTORAL_THEMATIC_HEALTHCARE,2026-03-01 10:00:43.269 +0530,19.687442816,36,MONTH
SECTORAL_THEMATIC_FMCG,2026-03-01 10:00:43.269 +0530,12.454519961,12,MONTH
SECTORAL_THEMATIC_FMCG,2026-03-01 10:00:43.269 +0530,17.936383771,36,MONTH
SECTORAL_THEMATIC_FMCG,2026-03-01 10:00:43.269 +0530,15.260005084,60,MONTH
SECTORAL_THEMATIC_FINANCIAL_SERVICES,2026-03-01 10:00:43.269 +0530,19.600081291,36,MONTH
SECTORAL_THEMATIC_FINANCIAL_SERVICES,2026-03-01 10:00:43.269 +0530,20.516876022,12,MONTH
SECTORAL_THEMATIC_FINANCIAL_SERVICES,2026-03-01 10:00:43.269 +0530,15.676020654,60,MONTH
SECTORAL_THEMATIC_EXPORT_AND_SERVICES,2026-03-01 10:00:43.269 +0530,21.570856274,12,MONTH
SECTORAL_THEMATIC_EXPORT_AND_SERVICES,2026-03-01 10:00:43.269 +0530,23.957695831,60,MONTH
SECTORAL_THEMATIC_EXPORT_AND_SERVICES,2026-03-01 10:00:43.269 +0530,23.39233774,36,MONTH
SECTORAL_THEMATIC_ESG,2026-03-01 10:00:43.269 +0530,16.444609418,60,MONTH
SECTORAL_THEMATIC_ESG,2026-03-01 10:00:43.269 +0530,18.164980106,12,MONTH
SECTORAL_THEMATIC_ESG,2026-03-01 10:00:43.269 +0530,17.395581263,36,MONTH
